CookerStat, GenerateAssetRegistry=16.071074, Initialize=20.098400, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50785804424D4FE995941E8BA33F2B26__1_0_13123_0, StartTime=2016.05.29-17.07.58, HierarchicalDDC=, DataSize=409, Duration=1.151096, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F0BEC51349C115190E54BDABA7326248__1_0_13123_0, StartTime=2016.05.29-17.07.58, HierarchicalDDC=, DataSize=617, Duration=1.184527, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4B4245B4338EC18F8B8D49BCA7A0F03__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=5299, Duration=1.009542, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3FCC1594E68A3D630C24D96F40C78E3__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=2719, Duration=1.471847, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8DA2B5DF467D9ED0332CE7892B6A59A0__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=4049, Duration=1.454081, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_962B49764EE76AEA48B040961083F613__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=4523, Duration=1.086343, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId29A2B4A04D0878211672BBAE8AABA9F3_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E418AE0462B61062D3F17BBE7C1ABFE__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=409, Duration=1.590814, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E23CE7F40F3AB4F1A9504B1C8D27648__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=409, Duration=1.099896, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionId1728FC514A70BAD8C6E278AF77FA9992_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_15A37B0842AA808ADA78A082F284E738__1_0_13123_0, StartTime=2016.05.29-17.08.09, HierarchicalDDC=, DataSize=617, Duration=1.152601, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
DDCTransactionIdE18E7268428B3A7057D0259A66EDD6A5_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E16E786A4022E7ABDEF85985E39444BE__1_0_13123_0, StartTime=2016.05.29-17.08.19, HierarchicalDDC=, DataSize=5451, Duration=1.260422, RunGuid=RunIDECF143EB41FA3EF07889AAAC12607C61
